town_name,municipality
Egoli Township,buffalo-city-block-1
Scenery Park,buffalo-city-block-1
Whelan Township,buffalo-city-block-1
Wilsonia,buffalo-city-block-1
Cathcart Rd,buffalo-city-block-1
Ginsberg,buffalo-city-block-1
Golf Course,buffalo-city-block-1
Henry Str: King Williams Town,buffalo-city-block-1
Louisa Str: King Williams Town,buffalo-city-block-1
Cambridge Rd: King Williams Town,buffalo-city-block-1
Douglas Str: King Williams Town,buffalo-city-block-1
Alice Str: King Williams Town,buffalo-city-block-1
Wynward Rd: King Williams Town,buffalo-city-block-1
Paul Sauer Str: King Williams Town,buffalo-city-block-1
Hockley Close: King Williams Town,buffalo-city-block-1
Reserve Rd: King Williams Town,buffalo-city-block-1
Mary Str: King Williams Town,buffalo-city-block-1
Oak Str: King Williams Town,buffalo-city-block-1
Wellington Str: King Williams Town,buffalo-city-block-1
Bank Str: King Williams Town,buffalo-city-block-1
Smith Str: King Williams Town,buffalo-city-block-1
Durban Str: King Williams Town,buffalo-city-block-1
Beatrice Str: King Williams Town,buffalo-city-block-1
Hargreaves Rd: King Williams Town,buffalo-city-block-1
Shornville,buffalo-city-block-1
Sweet Waters,buffalo-city-block-1
Victoria Str Light Industry,buffalo-city-block-1
Westbank,buffalo-city-block-1
Cambridge,buffalo-city-block-2
Cambridge West,buffalo-city-block-2
Highgate,buffalo-city-block-2
Gonubie,buffalo-city-block-2
Summerpride,buffalo-city-block-2
Ilitha,buffalo-city-block-2
Amalinda,buffalo-city-block-3
Beacon Bay,buffalo-city-block-3
Belgrave Rd: Belgravia,buffalo-city-block-3
Belgravia Cres: Belgravia,buffalo-city-block-3
Oxford Str: Belgravia,buffalo-city-block-3
St Georges Str: Belgravia,buffalo-city-block-3
St Lukes Rd: Belgravia,buffalo-city-block-3
St Marks Rd: Belgravia,buffalo-city-block-3
St Mathews Str: Belgravia,buffalo-city-block-3
St Patricks Rd: Belgravia,buffalo-city-block-3
Haven Hills,buffalo-city-block-3
Morningside,buffalo-city-block-3
Winchester Gardens,buffalo-city-block-3
Braelyn,buffalo-city-block-4
Braelyn Industry,buffalo-city-block-4
Ainsdale Rd: Bunkers Hill,buffalo-city-block-4
Blackheath Rd: Bunkers Hill,buffalo-city-block-4
Glen Eagles Rd: Bunkers Hill,buffalo-city-block-4
Hope Dr: Bunkers Hill,buffalo-city-block-4
Hoylake Ave: Bunkers Hill,buffalo-city-block-4
John Bailie Rd: Bunkers Hill,buffalo-city-block-4
Muirfield Rd: Bunkers Hill,buffalo-city-block-4
Sandwich Rd: Bunkers Hill,buffalo-city-block-4
The Drive: Bunkers Hill,buffalo-city-block-4
Turnberry Ave: Bunkers Hill,buffalo-city-block-4
Beaconsfield Rd: Cbd,buffalo-city-block-4
Cc Loyd,buffalo-city-block-4
Bashe Str: Duncan Village,buffalo-city-block-4
Bokwe Str: Duncan Village,buffalo-city-block-4
Dunga Str: Duncan Village,buffalo-city-block-4
Florence Str: Duncan Village,buffalo-city-block-4
Garvie Str: Duncan Village,buffalo-city-block-4
Godlo Str: Duncan Village,buffalo-city-block-4
Gwijana Str: Duncan Village,buffalo-city-block-4
Jongilanga Str: Duncan Village,buffalo-city-block-4
Kese Str: Duncan Village,buffalo-city-block-4
Kwinana Str: Duncan Village,buffalo-city-block-4
Luijiza Str: Duncan Village,buffalo-city-block-4
Mahlangeni Str: Duncan Village,buffalo-city-block-4
Majombozi Str: Duncan Village,buffalo-city-block-4
Matuntuta Str: Duncan Village,buffalo-city-block-4
Mazwi Str: Duncan Village,buffalo-city-block-4
Mdaka Str: Duncan Village,buffalo-city-block-4
Mekeni Str: Duncan Village,buffalo-city-block-4
Meki Str: Duncan Village,buffalo-city-block-4
Mnqika Str: Duncan Village,buffalo-city-block-4
Mpaku Str: Duncan Village,buffalo-city-block-4
Mzonyana Str: Duncan Village,buffalo-city-block-4
Ndende Str: Duncan Village,buffalo-city-block-4
Petshwa Str: Duncan Village,buffalo-city-block-4
Sandile Str: Duncan Village,buffalo-city-block-4
Sofuthe Str: Duncan Village,buffalo-city-block-4
Tappa Str: Duncan Village,buffalo-city-block-4
Tsenyengo Str: Duncan Village,buffalo-city-block-4
Ventshu Str: Duncan Village,buffalo-city-block-4
